offender_id,name,total_cases,crime_types,districts,first_incident,last_incident
af7d982ad0ba,Jagvi Kurian,8,"Crimes Against Property, Kidnapping & Abduction, Cheating & Fraud, Crimes Against Body, Domestic Violence","BELAGAVI CITY, BELAGAVI DIST, BENGALURU CITY, CHICKBALLAPURA, HUBBALLI DHARWAD CITY",2019-03-08 22:25:00,2023-07-04 09:25:00
a7989a5e8432,Krishna Srinivas,8,"Crimes Against Body, Crimes Against Property, Other IPC Offences, Crimes Against Children, Motor Vehicle Offences","BAGALKOT, BELAGAVI DIST, CHIKKAMAGALURU, KOPPAL, UTTARA KANNADA",2017-09-27 21:45:00,2023-12-01 21:16:00
e6c2d0b74337,Owen Dhingra,8,"Crimes Against Body, Motor Vehicle Offences, Crimes Against Property, Cheating & Fraud, Robbery & Dacoity","BELAGAVI CITY, BENGALURU CITY, BENGALURU DIST, HASSAN, KOPPAL",2016-07-09 13:44:00,2023-03-10 11:51:00
9123a5c7597b,Wazir Natarajan,8,"Crimes Against Body, Crimes Against Property, Cheating & Fraud, Public Order Violations","BAGALKOT, BALLARI, BENGALURU CITY, CHIKKAMAGALURU, RAMANAGARA",2017-03-08 19:28:00,2023-10-26 17:39:00
62d7a7b01721,Krisha Kala,8,"Crimes Against Body, Crimes Against Property, Cyber Crimes, Cheating & Fraud, Robbery & Dacoity","BAGALKOT, BENGALURU DIST, BIDAR, CHIKKAMAGALURU, DAVANAGERE",2016-01-22 21:39:00,2024-02-07 22:19:00
8bed2304a58e,Eiravati Narayan,8,"Crimes Against Property, Gambling & Betting, Other IPC Offences, Crimes Against Body, Robbery & Dacoity","BENGALURU CITY, BENGALURU DIST, CHAMARAJANAGAR, DAKSHINA KANNADA, HAVERI",2016-11-22 22:10:00,2024-02-22 02:47:00
53377d8ff9df,Wishi Nath,8,"Forgery & Counterfeiting, Robbery & Dacoity, Other IPC Offences, Motor Vehicle Offences, Crimes Against Body","BELAGAVI DIST, DAKSHINA KANNADA, HUBBALLI DHARWAD CITY, RAMANAGARA, SHIVAMOGGA",2017-10-11 06:10:00,2023-06-18 20:17:00
387c8dd607b6,Janani Padmanabhan,8,"Motor Vehicle Offences, Other IPC Offences, Gambling & Betting, Crimes Against Body, Robbery & Dacoity","BENGALURU CITY, CHICKBALLAPURA, HASSAN, KOLAR, MYSURU DIST",2017-03-24 06:10:00,2023-04-20 18:32:00
4f26fdb099fc,Manan Keer,8,"Crimes Against Body, Motor Vehicle Offences, Crimes Against Property, Narcotics & Drugs, Public Order Violations","BALLARI, BELAGAVI DIST, BENGALURU CITY, BENGALURU DIST, CHIKKAMAGALURU",2017-12-07 11:13:00,2022-11-25 17:11:00
4c55cb24dce0,Aradhana Dasgupta,8,"Crimes Against Property, Crimes Against Body, Domestic Violence","BAGALKOT, KOLAR",2016-02-12 20:48:00,2022-11-07 11:29:00
2e769d28bee0,Ranveer Srivastava,8,"Crimes Against Property, Cheating & Fraud, Crimes Against Body, Other IPC Offences, Domestic Violence","BAGALKOT, BENGALURU CITY, CHAMARAJANAGAR, DHARWAD, HAVERI",2016-09-22 12:34:00,2023-12-06 08:24:00
9a5ef1ec749e,Wyatt Naidu,8,"Gambling & Betting, Other IPC Offences, Crimes Against Children, Robbery & Dacoity, Crimes Against Property","BELAGAVI DIST, BIDAR, CHIKKAMAGALURU, HUBBALLI DHARWAD CITY, KALABURAGI CITY",2016-02-22 11:21:00,2023-11-03 23:19:00
a0c19a5872fa,Aarush Bava,8,"Crimes Against Property, Cheating & Fraud, Crimes Against Body, Motor Vehicle Offences, Gambling & Betting","BELAGAVI CITY, BENGALURU CITY, BENGALURU DIST, HUBBALLI DHARWAD CITY, MANGALURU CITY",2017-01-13 20:07:00,2022-12-14 16:23:00
780fa6053b77,Chakradev Grover,8,"Crimes Against Body, Crimes Against Property, Robbery & Dacoity, Crimes Against Public Tranquility, Economic Offences","BAGALKOT, BENGALURU CITY, VIJAYAPUR",2016-08-14 10:04:00,2021-06-25 14:50:00
8d89f2a66bd9,Hiral Chahal,8,"Crimes Against Property, Crimes Against Body, Forgery & Counterfeiting","BAGALKOT, BALLARI, BENGALURU CITY",2016-05-02 13:10:00,2023-09-08 11:03:00
8d1d22fbffa1,Yug Dhar,8,"Crimes Against Property, Crimes Against Body","BAGALKOT, BALLARI, BELAGAVI CITY, BELAGAVI DIST, BENGALURU CITY",2016-01-12 10:08:00,2021-12-25 01:49:00
903fbb3af4ee,Kashvi Gill,8,"Crimes Against Property, Crimes Against Body, Narcotics & Drugs, Robbery & Dacoity, Domestic Violence","BALLARI, BENGALURU CITY, BENGALURU DIST, CHIKKAMAGALURU, DAKSHINA KANNADA",2016-03-30 14:23:00,2023-09-12 09:48:00
7c9594636a18,Inaya Gara,8,"Crimes Against Property, Crimes Against Body, Narcotics & Drugs","BAGALKOT, BALLARI, BELAGAVI CITY, KODAGU, MYSURU CITY",2017-05-25 18:55:00,2022-03-14 21:08:00
89c529acaba6,Jagat Patel,8,"Crimes Against Body, Crimes Against Property, Motor Vehicle Offences, Cheating & Fraud, Cyber Crimes","BAGALKOT, BALLARI, BELAGAVI DIST, BENGALURU CITY, BIDAR",2017-04-04 22:57:00,2022-05-20 09:12:00
7cec69a50e6a,Chandran Warrior,8,"Crimes Against Property, Crimes Against Body, Cyber Crimes, Kidnapping & Abduction","BAGALKOT, CHITRADURGA, KOLAR",2016-08-30 15:55:00,2023-04-01 12:09:00
7c9aa3199ac9,Rachana Dey,8,"Crimes Against Body, Cheating & Fraud, Gambling & Betting","BAGALKOT, BALLARI, BELAGAVI DIST, BIDAR, RAICHUR",2016-08-18 23:15:00,2023-07-05 16:50:00
00ff8f08d819,Osha Balakrishnan,8,"Crimes Against Body, Crimes Against Property, Cheating & Fraud","BAGALKOT, BALLARI, BENGALURU DIST, CHICKBALLAPURA, SHIVAMOGGA",2016-08-28 13:19:00,2023-10-14 16:07:00
fc9c5d856364,Meghana Keer,8,"Crimes Against Body, Robbery & Dacoity, Other IPC Offences, Motor Vehicle Offences, Public Order Violations","BALLARI, BELAGAVI CITY, BELAGAVI DIST, BENGALURU CITY, CHAMARAJANAGAR",2018-01-23 16:40:00,2023-12-20 21:08:00
d9676930cc78,Balveer Sule,8,"Crimes Against Body, Crimes Against Property, Motor Vehicle Offences","BAGALKOT, DAVANAGERE",2016-05-27 01:38:00,2023-06-13 17:16:00
fd3922a03660,Neel Mistry,8,"Crimes Against Property, Crimes Against Body, Cheating & Fraud, Other IPC Offences","BAGALKOT, BALLARI, BENGALURU CITY",2017-02-16 19:05:00,2022-09-04 12:06:00
cbdbda38f21f,Yachana Nori,8,"Crimes Against Property, Crimes Against Body","BAGALKOT, BALLARI",2016-09-21 15:30:00,2023-12-01 20:21:00
c359b8093b67,Rachit Solanki,8,"Crimes Against Body, Public Order Violations, Gambling & Betting, Environmental Offences, Motor Vehicle Offences","BAGALKOT, BELAGAVI DIST, BENGALURU CITY, KOLAR",2016-06-17 13:05:00,2023-12-28 17:35:00
2a1eed537edd,Warinder Pau,7,"Crimes Against Body, Motor Vehicle Offences, Cheating & Fraud, Crimes Against Property, Other IPC Offences","BAGALKOT, BENGALURU CITY, BENGALURU DIST, UTTARA KANNADA",2018-07-27 19:35:00,2022-09-19 14:17:00
2bb56586c903,Yuvraj Bora,7,"Crimes Against Body, Crimes Against Property, Other IPC Offences, Crimes Against Women, Crimes Against Public Tranquility","BAGALKOT, BALLARI, BENGALURU CITY, HAVERI",2017-01-21 14:03:00,2023-06-08 22:32:00
2c85d9f61846,Aarnav Andra,7,"Crimes Against Body, Crimes Against Public Tranquility, Gambling & Betting, Narcotics & Drugs, Motor Vehicle Offences","BAGALKOT, BENGALURU CITY, BENGALURU DIST, CHITRADURGA",2016-12-20 22:12:00,2024-03-10 18:06:00
21777f240717,Utkarsh Biswas,7,"Crimes Against Property, Crimes Against Body, Crimes Against Public Tranquility, Public Order Violations, Narcotics & Drugs","BAGALKOT, BELAGAVI DIST, BENGALURU CITY, HAVERI, YADGIR",2016-02-12 20:48:00,2022-09-04 12:06:00
2425486371c9,Dominic Kannan,7,"Crimes Against Property, Crimes Against Body, Motor Vehicle Offences","BAGALKOT, BELAGAVI CITY, BENGALURU CITY, CHIKKAMAGALURU, KALABURAGI CITY",2016-07-31 23:22:00,2023-12-15 15:07:00
2343609c80a6,Vansha Buch,7,"Crimes Against Body, Narcotics & Drugs, Robbery & Dacoity, Gambling & Betting, Cheating & Fraud","BAGALKOT, BELAGAVI CITY, BENGALURU CITY, KOPPAL, MANDYA",2016-07-13 16:21:00,2022-11-12 02:49:00
22883f699bf2,Vasatika Bora,7,"Cheating & Fraud, Crimes Against Body, Robbery & Dacoity, Motor Vehicle Offences, Gambling & Betting","BENGALURU CITY, BENGALURU DIST, CHICKBALLAPURA, CHIKKAMAGALURU, CHITRADURGA",2016-08-04 08:46:00,2024-01-22 02:38:00
195badc20fe8,Anya Krishna,7,"Crimes Against Body, Crimes Against Property, Motor Vehicle Offences, Domestic Violence","BAGALKOT, BENGALURU CITY, HAVERI",2017-07-08 23:51:00,2023-11-09 09:42:00
1d655d7bbe85,Bahadurjit Rastogi,7,"Crimes Against Body, Robbery & Dacoity, Motor Vehicle Offences, Crimes Against Property, Narcotics & Drugs","BAGALKOT, BENGALURU CITY, CHICKBALLAPURA, HASSAN, HAVERI",2016-10-28 20:30:00,2023-03-02 11:39:00
263d3a20abcd,Krishna Varghese,7,"Crimes Against Property, Crimes Against Body, Gambling & Betting, Robbery & Dacoity, Motor Vehicle Offences","BAGALKOT, DAVANAGERE, RAMANAGARA, UDUPI, VIJAYANAGARA",2016-10-06 15:16:00,2022-09-22 10:08:00
24a8face8a18,Faqid Ravel,7,"Crimes Against Body, Gambling & Betting, Motor Vehicle Offences, Cyber Crimes, Domestic Violence","CHIKKAMAGALURU, KODAGU, MANDYA, MYSURU DIST, RAICHUR",2016-02-24 00:19:00,2021-11-09 08:53:00
0522a25c2b82,Chaitaly Bala,7,"Crimes Against Body, Crimes Against Property, Robbery & Dacoity, Motor Vehicle Offences, Gambling & Betting","BAGALKOT, BENGALURU CITY, BIDAR, CHICKBALLAPURA, HASSAN",2018-02-04 16:54:00,2023-10-16 13:04:00
15d8a01dd1cf,Falak Sen,7,"Robbery & Dacoity, Crimes Against Body, Narcotics & Drugs, Other IPC Offences, Cyber Crimes","BELAGAVI DIST, BENGALURU CITY, BIDAR, CHIKKAMAGALURU, HAVERI",2016-08-27 19:43:00,2023-07-16 00:55:00
13a351120d56,Shivani Singhal,7,"Crimes Against Women, Public Order Violations, Cheating & Fraud, Robbery & Dacoity, Crimes Against Property","BENGALURU CITY, BENGALURU DIST, BIDAR, KALABURAGI, MYSURU CITY",2016-02-22 13:33:00,2023-05-15 09:42:00
13003fca2e88,Pallavi Viswanathan,7,"Crimes Against Property, Cheating & Fraud, Motor Vehicle Offences, Gambling & Betting","BALLARI, BENGALURU CITY, MANDYA",2016-05-18 17:52:00,2022-12-16 10:48:00
1229d38de99e,Sanaya Chada,7,"Crimes Against Body, Crimes Against Property, Crimes Against Women, Other IPC Offences, Robbery & Dacoity","BAGALKOT, BENGALURU CITY, BENGALURU DIST, K.G.F, MANGALURU CITY",2017-02-04 22:57:00,2023-07-29 19:21:00
1271de4eb23b,Ekaja Shere,7,"Crimes Against Body, Economic Offences, Forgery & Counterfeiting, Narcotics & Drugs","BAGALKOT, BELAGAVI DIST, BENGALURU CITY, BIDAR, CHITRADURGA",2017-10-04 03:08:00,2023-08-03 20:58:00
0f55354387bd,Theodore Warrior,7,"Crimes Against Body, Crimes Against Property, Cheating & Fraud, Motor Vehicle Offences","BAGALKOT, BELAGAVI CITY, BENGALURU CITY, CHITRADURGA, MYSURU CITY",2016-09-01 16:12:00,2023-09-01 16:36:00
0f037a3710d7,Odika Pandya,7,"Crimes Against Property, Crimes Against Body, Other IPC Offences, Cyber Crimes","BAGALKOT, BENGALURU CITY, GADAG, RAMANAGARA, UTTARA KANNADA",2016-12-28 13:16:00,2023-07-09 19:12:00
04993a291e7f,Kashish Sankar,7,"Crimes Against Body, Crimes Against Property, Public Order Violations","BAGALKOT, BALLARI, BELAGAVI DIST",2017-04-24 21:09:00,2020-09-24 15:40:00
0af7e8a548ae,Maanav Karpe,7,"Crimes Against Body, Cheating & Fraud, Motor Vehicle Offences, Crimes Against Property, Other IPC Offences","BAGALKOT, BENGALURU CITY, BENGALURU DIST, CHAMARAJANAGAR, RAICHUR",2016-08-04 01:44:00,2023-12-11 22:00:00
092add0ed59f,Qarin Kala,7,"Crimes Against Body, Crimes Against Women, Robbery & Dacoity, Gambling & Betting, Narcotics & Drugs","BAGALKOT, BELAGAVI CITY, BENGALURU CITY, CHIKKAMAGALURU, CHITRADURGA",2016-06-27 14:20:00,2022-07-19 14:25:00
06d7a10f5fd1,Ansh Lad,7,"Crimes Against Body, Motor Vehicle Offences, Gambling & Betting","BENGALURU CITY, DAKSHINA KANNADA, KALABURAGI, SHIVAMOGGA, VIJAYAPUR",2017-07-15 21:50:00,2023-08-16 17:21:00
06baab36dc54,Eesha Lad,7,"Crimes Against Property, Domestic Violence, Motor Vehicle Offences, Other IPC Offences, Crimes Against Children","BALLARI, BELAGAVI DIST, CHIKKAMAGALURU, CHITRADURGA, MANDYA",2016-08-27 09:38:00,2020-12-24 11:49:00
00761d64b2bc,Udant Dugar,7,"Crimes Against Body, Cheating & Fraud, Crimes Against Property, Economic Offences, Motor Vehicle Offences","BENGALURU DIST, BIDAR, CHAMARAJANAGAR, CHIKKAMAGALURU, SHIVAMOGGA",2018-07-06 22:46:00,2023-08-19 12:46:00
18d674c36657,Samesh Mand,7,"Crimes Against Body, Forgery & Counterfeiting, Cheating & Fraud, Cyber Crimes, Domestic Violence","BAGALKOT, BALLARI, BENGALURU CITY, DHARWAD",2017-04-22 15:34:00,2023-09-10 12:31:00
187aa1d4bd35,Dakshesh Parmer,7,"Crimes Against Body, Cheating & Fraud, Motor Vehicle Offences, Gambling & Betting","BALLARI, BELAGAVI DIST, BIDAR, HUBBALLI DHARWAD CITY, MYSURU CITY",2017-06-01 09:24:00,2023-02-05 19:02:00
2ddea34929fb,Indrajit Ray,7,"Crimes Against Body, Gambling & Betting, Other IPC Offences, Crimes Against Property","BALLARI, BELAGAVI DIST, BENGALURU CITY, BENGALURU DIST",2016-02-08 05:04:00,2023-11-06 19:47:00
2daca2fcf373,Brijesh Grewal,7,"Crimes Against Body, Crimes Against Property, Cheating & Fraud, Gambling & Betting, Crimes Against Children","BAGALKOT, BALLARI, BELAGAVI DIST, BENGALURU CITY",2016-10-31 12:37:00,2024-01-20 21:16:00
2d506e50319e,Warda Dugar,7,"Crimes Against Body, Public Order Violations, Cyber Crimes, Cheating & Fraud, Motor Vehicle Offences","BELAGAVI DIST, BENGALURU CITY, BENGALURU DIST, GADAG, HASSAN",2017-09-18 00:44:00,2023-12-27 21:43:00
52b7839c4be3,Zayan Murthy,7,"Crimes Against Body, Crimes Against Property, Economic Offences, Crimes Against Women","BAGALKOT, BELAGAVI DIST, SHIVAMOGGA",2016-04-08 15:15:00,2023-04-03 10:16:00
4fd92bd565e0,Dalaja Brahmbhatt,7,"Crimes Against Property, Crimes Against Body, Gambling & Betting, Motor Vehicle Offences","BELAGAVI CITY, BENGALURU CITY, HASSAN, MANDYA",2016-01-31 09:57:00,2023-01-03 14:05:00
48760e741e26,Nilima Mitra,7,"Crimes Against Body, Robbery & Dacoity, Crimes Against Property, Public Order Violations","BELAGAVI CITY, BELAGAVI DIST, BENGALURU CITY",2016-02-01 13:38:00,2023-04-22 19:53:00
4ae7e7a5c0bc,Upasna Ramanathan,7,"Crimes Against Body, Crimes Against Public Tranquility, Motor Vehicle Offences, Kidnapping & Abduction","BAGALKOT, BELAGAVI CITY, BENGALURU CITY, CHITRADURGA, MANDYA",2017-11-10 12:13:00,2022-05-17 18:45:00
4bf33f9baa58,Ijaya Dalal,7,"Crimes Against Property, Crimes Against Body, Motor Vehicle Offences","BAGALKOT, BELAGAVI DIST, BENGALURU CITY",2016-01-07 06:06:00,2024-02-11 14:56:00
562f3207c301,Saumya Contractor,7,"Crimes Against Property, Crimes Against Body, Public Order Violations, Other IPC Offences, Motor Vehicle Offences","BAGALKOT, CHICKBALLAPURA, CHIKKAMAGALURU, KOPPAL, MYSURU DIST",2016-03-25 23:17:00,2023-12-07 14:34:00
54fac8d97bb5,Aradhana Shere,7,"Crimes Against Body, Crimes Against Property, Motor Vehicle Offences, Narcotics & Drugs","BAGALKOT, BELAGAVI CITY, BENGALURU CITY, BIDAR, DAVANAGERE",2016-02-04 03:46:00,2023-05-27 17:35:00
535d88de917f,Dakshesh Nadig,7,"Motor Vehicle Offences, Crimes Against Property, Crimes Against Body, Cheating & Fraud, Gambling & Betting","BENGALURU CITY, BENGALURU DIST, CHITRADURGA, MANDYA, VIJAYANAGARA",2016-01-30 12:26:00,2023-07-20 18:59:00
37aed21d14da,Yashica Chanda,7,"Crimes Against Body, Narcotics & Drugs","BAGALKOT, BALLARI, KODAGU",2016-06-16 09:32:00,2023-12-12 11:11:00
3e54addc70ed,Janani Ben,7,"Motor Vehicle Offences, Gambling & Betting, Crimes Against Body","BENGALURU CITY, CHAMARAJANAGAR, DAVANAGERE, YADGIR",2016-01-22 19:13:00,2023-05-05 22:40:00
42ffd456c7f5,Baljiwan Narayan,7,"Cyber Crimes, Narcotics & Drugs, Crimes Against Women, Crimes Against Children, Crimes Against Body","BENGALURU CITY, BENGALURU DIST, MYSURU DIST",2016-08-20 10:28:00,2023-06-13 14:26:00
437ec3a29f84,Zaid Khalsa,7,"Crimes Against Property, Cheating & Fraud, Crimes Against Body, Motor Vehicle Offences, Gambling & Betting","BAGALKOT, BENGALURU CITY, DAKSHINA KANNADA, K.G.F, MANGALURU CITY",2016-03-24 19:33:00,2023-09-13 09:08:00
43f66a5bc2bd,Januja Kala,7,"Crimes Against Property, Crimes Against Body, Cyber Crimes, Motor Vehicle Offences, Environmental Offences","BALLARI, DAKSHINA KANNADA, MANGALURU CITY, VIJAYAPUR, YADGIR",2017-08-06 17:28:00,2021-11-24 01:27:00
311c462fb370,Eta Kothari,7,"Crimes Against Body, Cheating & Fraud, Crimes Against Women, Other IPC Offences, Gambling & Betting","BELAGAVI CITY, BIDAR, CHICKBALLAPURA, CHIKKAMAGALURU, KALABURAGI",2017-01-15 15:55:00,2023-11-12 21:42:00
307551a55273,Neel Prasad,7,"Crimes Against Property, Crimes Against Body, Cheating & Fraud, Gambling & Betting, Robbery & Dacoity","BALLARI, BELAGAVI CITY, BENGALURU CITY, MANDYA, MYSURU DIST",2018-01-15 15:03:00,2022-02-28 08:48:00
3504592bda6c,Leela Brar,7,"Crimes Against Body, Cheating & Fraud, Gambling & Betting, Robbery & Dacoity","BENGALURU CITY, BIDAR, KOLAR, KOPPAL, VIJAYAPUR",2016-07-25 21:47:00,2021-10-02 20:54:00
32e02f06bb7a,Umang Kashyap,7,"Crimes Against Property, Cheating & Fraud, Crimes Against Body, Cyber Crimes, Gambling & Betting","BELAGAVI DIST, BENGALURU CITY, CHITRADURGA, DHARWAD, KOPPAL",2016-05-14 01:37:00,2023-11-14 16:11:00
2f59e1a38b47,Manbir Brahmbhatt,7,"Crimes Against Body, Crimes Against Property, Motor Vehicle Offences, Gambling & Betting","BALLARI, BENGALURU CITY, DAVANAGERE, RAMANAGARA",2016-04-18 17:05:00,2021-12-23 06:42:00
3c1c0174b3bf,Nachiket Devan,7,"Crimes Against Body, Crimes Against Property, Gambling & Betting, Environmental Offences","BAGALKOT, BALLARI, BELAGAVI CITY, BENGALURU CITY, CHICKBALLAPURA",2016-04-24 19:09:00,2024-03-06 11:20:00
35269333b699,Nidra Bera,7,"Crimes Against Body, Motor Vehicle Offences, Narcotics & Drugs, Robbery & Dacoity","BAGALKOT, BELAGAVI DIST, BENGALURU CITY, CHITRADURGA, MYSURU DIST",2016-02-25 02:43:00,2023-12-29 18:02:00
35c57ebff126,Pavani Malhotra,7,"Other IPC Offences, Cheating & Fraud, Gambling & Betting, Crimes Against Body, Narcotics & Drugs","BENGALURU CITY, CHICKBALLAPURA, DHARWAD, HASSAN, KOPPAL",2016-12-03 17:36:00,2023-08-20 13:56:00
47a0de323d98,Luke Chokshi,7,"Crimes Against Property, Crimes Against Body, Other IPC Offences, Robbery & Dacoity, Cheating & Fraud","BAGALKOT, BENGALURU CITY, CHIKKAMAGALURU, CHITRADURGA, MYSURU CITY",2016-07-30 08:45:00,2023-07-27 06:45:00
45ef7073fcbd,Neel Doshi,7,"Crimes Against Property, Crimes Against Body, Domestic Violence, Arms Act Violations","BELAGAVI DIST, BENGALURU CITY, CHICKBALLAPURA, MYSURU DIST, TUMAKURU",2016-07-06 16:25:00,2021-11-06 16:24:00
49a81dd1ab04,Chavvi Wali,7,"Crimes Against Body, Gambling & Betting, Crimes Against Property, Motor Vehicle Offences, Crimes Against Public Tranquility","BALLARI, BENGALURU CITY, BIDAR, RAICHUR, SHIVAMOGGA",2016-03-12 00:46:00,2023-12-22 17:06:00
5e819ac1fa6b,Damini Ganesan,7,"Crimes Against Body, Crimes Against Property, Narcotics & Drugs, Robbery & Dacoity","BAGALKOT, BENGALURU CITY, BENGALURU DIST, CHITRADURGA",2017-10-01 19:29:00,2024-01-18 20:57:00
5ee75a943392,Zaitra Patla,7,"Public Order Violations, Cheating & Fraud, Forgery & Counterfeiting, Motor Vehicle Offences, Crimes Against Public Tranquility","BENGALURU CITY, KALABURAGI, KOLAR, KOPPAL, MYSURU DIST",2016-01-01 09:43:00,2023-08-11 08:29:00
5e54f72c6816,Madhav Rajan,7,"Crimes Against Body, Crimes Against Property, Gambling & Betting, Robbery & Dacoity","BELAGAVI CITY, BELAGAVI DIST, BENGALURU CITY, VIJAYANAGARA",2016-07-27 12:42:00,2023-03-18 08:52:00
590fdaece233,Harrison Bath,7,"Crimes Against Property, Robbery & Dacoity, Economic Offences, Other IPC Offences","BAGALKOT, BELAGAVI DIST, BENGALURU CITY, HASSAN, HUBBALLI DHARWAD CITY",2016-08-23 19:52:00,2024-02-28 22:22:00
564459097a23,Praneel D’Alia,7,"Crimes Against Body, Crimes Against Property","BAGALKOT, BELAGAVI DIST, HASSAN",2016-07-20 22:30:00,2022-04-26 10:12:00
